Schlüssel;Bezirk;Planungsraum;Bezirksregion;Prognoseraum;Flächengröße in m²
08020622;Neukölln;Parchimer Allee;Britz;Britz/Buckow;2144026.93
08020623;Neukölln;Ortolanweg;Britz;Britz/Buckow;1186193.54
08030830;Neukölln;Gropiusstadt Süd;Gropiusstadt;Gropiusstadt;676876.83
08030831;Neukölln;Gropiusstadt Ost;Gropiusstadt;Gropiusstadt;1132631.37
08040932;Neukölln;Goldhähnchenweg;Buckow Nord;Buckow Nord/Rudow;133799.71
09010301;Treptow-Köpenick;Baumschulenstraße;Baumschulenweg;Treptow-Köpenick 1;2111375.01
09010401;Treptow-Köpenick;Johannisthal West;Johannisthal;Treptow-Köpenick 1;3244549.68
08010510;Neukölln;Gewerbegebiet Köllnische Heide;Köllnische Heide;Neukölln;1487733.33
08020619;Neukölln;Buschkrugallee Nord;Britz;Britz/Buckow;1845319.95
08041040;Neukölln;Waltersdorfer Chaussee Ost;Rudow;Buckow Nord/Rudow;2243920.47
09010101;Treptow-Köpenick;Elsenstraße;Alt-Treptow;Treptow-Köpenick 1;1234438.18
09020501;Treptow-Köpenick;Oberschöneweide West;Oberschöneweide;Treptow-Köpenick 2;2324756.3
09041601;Treptow-Köpenick;Müggelheim;Müggelheim;Treptow-Köpenick 4;22184659.33
09051801;Treptow-Köpenick;Rahnsdorf/Hessenwinkel;Rahnsdorf/Hessenwinkel;Treptow-Köpenick 5;21438668.76
08020624;Neukölln;Britzer Garten;Britz;Britz/Buckow;2987554.22
08020625;Neukölln;Handwerker-Siedlung;Britz;Britz/Buckow;1375912.1
08020726;Neukölln;Buckow West;Buckow;Britz/Buckow;1457343.08
08020727;Neukölln;Buckow Mitte;Buckow;Britz/Buckow;2031346.35
08020728;Neukölln;Buckow Ost;Buckow;Britz/Buckow;1106606.02
08030829;Neukölln;Gropiusstadt Nord;Gropiusstadt;Gropiusstadt;846826.23
09010402;Treptow-Köpenick;Johannisthal Ost;Johannisthal;Treptow-Köpenick 1;3233155.04
09020502;Treptow-Köpenick;Oberschöneweide Ost;Oberschöneweide;Treptow-Köpenick 2;5602428.09
09020601;Treptow-Köpenick;Schnellerstraße;Niederschöneweide;Treptow-Köpenick 2;1905633.94
08040933;Neukölln;Vogelviertel Süd;Buckow Nord;Buckow Nord/Rudow;826305.33
08040934;Neukölln;Vogelviertel Nord;Buckow Nord;Buckow Nord/Rudow;440390.33
08041035;Neukölln;Blumenviertel;Rudow;Buckow Nord/Rudow;2118705.02
08041036;Neukölln;Zittauer Straße;Rudow;Buckow Nord/Rudow;1921668.49
08041037;Neukölln;Alt-Rudow;Rudow;Buckow Nord/Rudow;2506644.96
08041038;Neukölln;Waßmannsdorfer Chaussee;Rudow;Buckow Nord/Rudow;2775322.71
08041039;Neukölln;Frauenviertel;Rudow;Buckow Nord/Rudow;471744.12
09020801;Treptow-Köpenick;Spindlersfeld;Köllnische Vorstadt/Spindlersfeld;Treptow-Köpenick 2;571861
09020802;Treptow-Köpenick;Köllnische Vorstadt;Köllnische Vorstadt/Spindlersfeld;Treptow-Köpenick 2;1554713.4
09030901;Treptow-Köpenick;Dorf Altglienicke;Altglienicke;Treptow-Köpenick 3;5777965.05
09030902;Treptow-Köpenick;Wohngebiet II;Altglienicke;Treptow-Köpenick 3;380790.09
09030903;Treptow-Köpenick;Kölner Viertel;Altglienicke;Treptow-Köpenick 3;1572124.35
09031001;Treptow-Köpenick;Bohnsdorf;Bohnsdorf;Treptow-Köpenick 3;6659431.47
09031101;Treptow-Köpenick;Grünau;Grünau;Treptow-Köpenick 3;9167272.65
09010102;Treptow-Köpenick;Am Treptower Park Nord;Alt-Treptow;Treptow-Köpenick 1;1077810.82
09010201;Treptow-Köpenick;Am Treptower Park Süd;Plänterwald;Treptow-Köpenick 1;854262.94
09010202;Treptow-Köpenick;Köpenicker Landstraße;Plänterwald;Treptow-Köpenick 1;2145849.85
09010302;Treptow-Köpenick;Späthsfelde;Baumschulenweg;Treptow-Köpenick 1;2721099.83
09031201;Treptow-Köpenick;Karolinenhof;Schmöckwitz/Karolinenhof/Rauchfangswerder;Treptow-Köpenick 3;2355967.51
09041302;Treptow-Köpenick;Wendenschloß;Köpenick Süd;Treptow-Köpenick 4;965379.81
09051701;Treptow-Köpenick;Hirschgarten;Friedrichshagen;Treptow-Köpenick 5;1808686.86
09051702;Treptow-Köpenick;Bölschestraße;Friedrichshagen;Treptow-Köpenick 5;12225582.56
09051901;Treptow-Köpenick;Dammvorstadt;Dammvorstadt;Treptow-Köpenick 5;2783283.23
09052001;Treptow-Köpenick;Köpenick Nord;Köpenick Nord;Treptow-Köpenick 5;7966656.53
10010101;Marzahn-Hellersdorf;Marzahn West;Marzahn Nord;Marzahn;694985.47
10010102;Marzahn-Hellersdorf;Havemannstraße;Marzahn Nord;Marzahn;1898742.52
10010203;Marzahn-Hellersdorf;Gewerbegebiet Bitterfelder Straße;Marzahn Mitte;Marzahn;3599301.79
10010308;Marzahn-Hellersdorf;Marzahner Chaussee;Marzahn Süd;Marzahn;4001028.24
10010310;Marzahn-Hellersdorf;Alt-Marzahn;Marzahn Süd;Marzahn;2238368.26
10010311;Marzahn-Hellersdorf;Landsberger Tor;Marzahn Süd;Marzahn;1608201.44
10020415;Marzahn-Hellersdorf;Hellersdorfer Promenade;Hellersdorf Nord;Hellersdorf;451604.89
10020416;Marzahn-Hellersdorf;Böhlener Straße;Hellersdorf Nord;Hellersdorf;919160.94
09020602;Treptow-Köpenick;Oberspree;Niederschöneweide;Treptow-Köpenick 2;1589839.33
09020701;Treptow-Köpenick;Adlershof West;Adlershof;Treptow-Köpenick 2;2670775.83
09020702;Treptow-Köpenick;Adlershof Ost;Adlershof;Treptow-Köpenick 2;3486440.87
11010207;Lichtenberg;Wartenberg Nord;Neu-Hohenschönhausen Nord;Hohenschönhausen Nord;658504.78
11010308;Lichtenberg;Zingster Straße Ost;Neu-Hohenschönhausen Süd;Hohenschönhausen Nord;730730.39
10010204;Marzahn-Hellersdorf;Wuhletalstraße;Marzahn Mitte;Marzahn;845563.37
10010205;Marzahn-Hellersdorf;Marzahn Ost;Marzahn Mitte;Marzahn;1098556.14
10010206;Marzahn-Hellersdorf;Ringkolonnaden;Marzahn Mitte;Marzahn;1486009.41
10010207;Marzahn-Hellersdorf;Marzahner Promenade;Marzahn Mitte;Marzahn;860657.59
10010309;Marzahn-Hellersdorf;Springpfuhl;Marzahn Süd;Marzahn;1200931.68
10020412;Marzahn-Hellersdorf;Alte Hellersdorfer Straße;Hellersdorf Nord;Hellersdorf;445221.41
10020413;Marzahn-Hellersdorf;Gut Hellersdorf;Hellersdorf Nord;Hellersdorf;1618142.04
10020414;Marzahn-Hellersdorf;Helle Mitte;Hellersdorf Nord;Hellersdorf;163703.72
10040828;Marzahn-Hellersdorf;Kaulsdorf Nord;Kaulsdorf;Kaulsdorf/Mahlsdorf;2549031.08
10040829;Marzahn-Hellersdorf;Alt-Kaulsdorf;Kaulsdorf;Kaulsdorf/Mahlsdorf;1350969.73
10040830;Marzahn-Hellersdorf;Kaulsdorf Süd;Kaulsdorf;Kaulsdorf/Mahlsdorf;4857612
10040931;Marzahn-Hellersdorf;Mahlsdorf Nord;Mahlsdorf;Kaulsdorf/Mahlsdorf;4218639.18
10040932;Marzahn-Hellersdorf;Alt-Mahlsdorf;Mahlsdorf;Kaulsdorf/Mahlsdorf;1899353.83
10040933;Marzahn-Hellersdorf;Mahlsdorf Süd;Mahlsdorf;Kaulsdorf/Mahlsdorf;6855914.39
11010101;Lichtenberg;Dorf Malchow;Malchow, Wartenberg und Falkenberg;Hohenschönhausen Nord;1475903.28
11010102;Lichtenberg;Dorf Wartenberg;Malchow, Wartenberg und Falkenberg;Hohenschönhausen Nord;6971430.14
11010103;Lichtenberg;Dorf Falkenberg;Malchow, Wartenberg und Falkenberg;Hohenschönhausen Nord;3056684.26
11010204;Lichtenberg;Falkenberg Ost;Neu-Hohenschönhausen Nord;Hohenschönhausen Nord;909634.85
11010205;Lichtenberg;Falkenberg West;Neu-Hohenschönhausen Nord;Hohenschönhausen Nord;775937.38
11010206;Lichtenberg;Wartenberg Süd;Neu-Hohenschönhausen Nord;Hohenschönhausen Nord;456781.34
11020515;Lichtenberg;Landsberger Allee;Alt-Hohenschönhausen Süd;Hohenschönhausen Süd;939924.21
11020516;Lichtenberg;Weiße Taube;Alt-Hohenschönhausen Süd;Hohenschönhausen Süd;1033945.56
10020517;Marzahn-Hellersdorf;Adele-Sandrock-Straße;Hellersdorf Ost;Hellersdorf;1110636.67
10020518;Marzahn-Hellersdorf;Schleipfuhl;Hellersdorf Ost;Hellersdorf;476115.29
10020519;Marzahn-Hellersdorf;Boulevard Kastanienallee;Hellersdorf Ost;Hellersdorf;526202.95
10020620;Marzahn-Hellersdorf;Kaulsdorf Nord II;Hellersdorf Süd;Hellersdorf;520494.44
10020621;Marzahn-Hellersdorf;Gelbes Viertel;Hellersdorf Süd;Hellersdorf;498870.7
10020622;Marzahn-Hellersdorf;Kaulsdorf Nord I;Hellersdorf Süd;Hellersdorf;1011268.76
10020623;Marzahn-Hellersdorf;Rotes Viertel;Hellersdorf Süd;Hellersdorf;376752.2
10030724;Marzahn-Hellersdorf;Oberfeldstraße;Biesdorf;Biesdorf;2746824.96
10030725;Marzahn-Hellersdorf;Buckower Ring;Biesdorf;Biesdorf;2056823.13
10030726;Marzahn-Hellersdorf;Alt-Biesdorf;Biesdorf;Biesdorf;2394180.86
10030727;Marzahn-Hellersdorf;Biesdorf Süd;Biesdorf;Biesdorf;5203279.76
12214422;Reinickendorf;Klixstraße;West 4 - Auguste-Viktoria-Allee;Tegel;819611.15
12214423;Reinickendorf;Mellerbogen;West 4 - Auguste-Viktoria-Allee;Tegel;527387.86
12214424;Reinickendorf;Scharnweberstraße;West 4 - Auguste-Viktoria-Allee;Tegel;1038714.64
12214527;Reinickendorf;Alt-Tegel;West 5 - Tegel/Tegeler Forst;Tegel;2391452.96
12224229;Reinickendorf;Konradshöhe/Tegelort;West 2 - Heiligensee/Konradshöhe;Heiligensee/Konradshöhe;2187579.92
12224230;Reinickendorf;Heiligensee;West 2 - Heiligensee/Konradshöhe;Heiligensee/Konradshöhe;10681326.87
12231102;Reinickendorf;Frohnau;Nord 1 - Frohnau/Hermsdorf;Frohnau/Hermsdorf;7836129.5
12301203;Reinickendorf;Wittenau Süd;Nord 2 - Waidmannslust/Wittenau/Lübars;Waidmannslust;2558762.02
12301204;Reinickendorf;Wittenau Nord;Nord 2 - Waidmannslust/Wittenau/Lübars;Waidmannslust;2493427.01
12301205;Reinickendorf;Waidmannslust;Nord 2 - Waidmannslust/Wittenau/Lübars;Waidmannslust;1732384.74
12302107;Reinickendorf;Schorfheidestraße;MV 1 - Märkisches Viertel;Waidmannslust;568097.89
12302211;Reinickendorf;Lübarser Straße;MV 2 - Rollbergesiedlung;Waidmannslust;1133622.57
12304314;Reinickendorf;Ziekowstraße/Freie Scholle;West 3 - Borsigwalde/Freie Scholle;Waidmannslust;2227166.59
12302108;Reinickendorf;Märkisches Zentrum;MV 1 - Märkisches Viertel;Waidmannslust;1137014.87
12302109;Reinickendorf;Treuenbrietzener Straße;MV 1 - Märkisches Viertel;Waidmannslust;917939.77
09041403;Treptow-Köpenick;Allende II;Allende-Viertel;Treptow-Köpenick 4;1990547.96
12302110;Reinickendorf;Dannenwalder Weg;MV 1 - Märkisches Viertel;Waidmannslust;523516.62
12302212;Reinickendorf;Rollbergesiedlung;MV 2 - Rollbergesiedlung;Waidmannslust;501102.97
12304313;Reinickendorf;Borsigwalde;West 3 - Borsigwalde/Freie Scholle;Waidmannslust;1848849.27
09041501;Treptow-Köpenick;Altstadt Kietz;Altstadt Kietz;Treptow-Köpenick 4;796889.28
09041402;Treptow-Köpenick;Siedlung Kämmereiheide;Allende-Viertel;Treptow-Köpenick 4;937898.23
11010309;Lichtenberg;Zingster Straße West;Neu-Hohenschönhausen Süd;Hohenschönhausen Nord;902698.77
11010310;Lichtenberg;Mühlengrund;Neu-Hohenschönhausen Süd;Hohenschönhausen Nord;705084.04
11020411;Lichtenberg;Malchower Weg;Alt-Hohenschönhausen Nord;Hohenschönhausen Süd;2233016.59
11020412;Lichtenberg;Hauptstraße;Alt-Hohenschönhausen Nord;Hohenschönhausen Süd;2518353.76
09041401;Treptow-Köpenick;Allende I;Allende-Viertel;Treptow-Köpenick 4;513085.73
11020513;Lichtenberg;Orankesee;Alt-Hohenschönhausen Süd;Hohenschönhausen Süd;1935801.83
11020514;Lichtenberg;Große-Leege-Straße;Alt-Hohenschönhausen Süd;Hohenschönhausen Süd;687053.87
11030617;Lichtenberg;Hohenschönhausener Straße;Fennpfuhl;Lichtenberg Nord;416868.78
11030618;Lichtenberg;Fennpfuhl West;Fennpfuhl;Lichtenberg Nord;1167779.14
11030619;Lichtenberg;Fennpfuhl Ost;Fennpfuhl;Lichtenberg Nord;556571.71
11030720;Lichtenberg;Herzbergstraße;Alt-Lichtenberg;Lichtenberg Nord;3924620.92
11030721;Lichtenberg;Rüdigerstraße;Alt-Lichtenberg;Lichtenberg Nord;2423269.81
11030824;Lichtenberg;Frankfurter Allee Süd;Frankfurter Allee Süd;Lichtenberg Nord;1053030.49
11040925;Lichtenberg;Victoriastadt;Neu-Lichtenberg;Lichtenberg Mitte;393879.91
11040926;Lichtenberg;Weitlingstraße;Neu-Lichtenberg;Lichtenberg Mitte;2240857.71
11041022;Lichtenberg;Rosenfelder Ring;Friedrichsfelde Nord;Lichtenberg Mitte;561122.02
11041023;Lichtenberg;Gensinger Straße;Friedrichsfelde Nord;Lichtenberg Mitte;450144.96
11041027;Lichtenberg;Tierpark;Friedrichsfelde Nord;Lichtenberg Mitte;1733156.02
11041128;Lichtenberg;Sewanstraße;Friedrichsfelde Süd;Lichtenberg Mitte;2214718.86
11051229;Lichtenberg;Rummelsburg;Rummelsburger Bucht;Lichtenberg Süd;2382364.95
11051330;Lichtenberg;Karlshorst West;Karlshorst;Lichtenberg Süd;994143.45
12214125;Reinickendorf;Waldidyll/Flughafensee;West 1 Tegel-Süd/Flughafensee;Tegel;12265158.17
12214528;Reinickendorf;Tegeler Forst;West 5 - Tegel/Tegeler Forst;Tegel;15979322.76
12231101;Reinickendorf;Hermsdorf;Nord 1 - Frohnau/Hermsdorf;Frohnau/Hermsdorf;6054743.43
12301206;Reinickendorf;Lübars;Nord 2 - Waidmannslust/Wittenau/Lübars;Waidmannslust;5007672.74
09041301;Treptow-Köpenick;Kietzer Feld/Nachtheide;Köpenick Süd;Treptow-Köpenick 4;17013466.88
11051331;Lichtenberg;Karlshorst Nord;Karlshorst;Lichtenberg Süd;3294952.13
11051332;Lichtenberg;Karlshorst Süd;Karlshorst;Lichtenberg Süd;2295450.03
12103115;Reinickendorf;Breitkopfbecken;Ost 1 - Reginhardstr.;Reinickendorf Ost;719395.01
12103116;Reinickendorf;Hausotterplatz;Ost 1 - Reginhardstr.;Reinickendorf Ost;809701.06
12103117;Reinickendorf;Letteplatz;Ost 1 - Reginhardstr.;Reinickendorf Ost;780088.75
12103218;Reinickendorf;Teichstraße;Ost 2 Alt-Reinickendorf;Reinickendorf Ost;3355220.78
12103219;Reinickendorf;Schäfersee;Ost 2 Alt-Reinickendorf;Reinickendorf Ost;1115321.73
12103220;Reinickendorf;Humboldtstraße;Ost 2 Alt-Reinickendorf;Reinickendorf Ost;777663.07
12214126;Reinickendorf;Tegel Süd;West 1 Tegel-Süd/Flughafensee;Tegel;758257.67
12214421;Reinickendorf;Reinickes Hof;West 4 - Auguste-Viktoria-Allee;Tegel;532495.31
